IntegerID,CodePrediction,RealProductTypeCode
85205,2583,2583
85206,2705,10
85207,1160,1160
85208,1140,1140
85209,2403,2280
85210,1280,1281
85211,2280,10
85212,1320,1320
85213,1281,1281
85214,1560,1560
85215,2280,2280
85216,2280,2280
85217,2522,2522
85218,2280,10
85219,2060,2060
85220,1140,1140
85221,1920,1920
85222,1920,1920
85223,1140,1140
85224,1920,1920
85225,2585,1940
85226,1280,1280
85227,2705,2705
85228,1560,2280
85229,1280,1140
85230,1300,1300
85231,2060,2060
85232,1300,1300
85233,1302,1302
85234,10,1300
85235,10,10
85236,1160,1160
85237,10,1940
85238,2060,2585
85239,50,50
85240,2280,2280
85241,2583,2583
85242,1280,1280
85243,2585,2585
85244,2403,1320
85245,1560,1320
85246,10,2403
85247,2583,2583
85248,2705,2705
85249,2583,2583
85250,2705,2705
85251,2585,2585
85252,1320,1320
85253,10,1300
85254,10,2403
85255,2583,2583
85256,2522,2522
85257,2583,2583
85258,1300,1300
85259,1300,1300
85260,1560,1560
85261,1140,40
85262,1920,1920
85263,2403,2403
85264,2403,2403
85265,2280,10
85266,2583,2583
85267,1300,1300
85268,1940,1940
85269,2060,1560
85270,1140,1180
85271,2280,2280
85272,1920,1920
85273,10,10
85274,1920,1920
85275,10,1180
85276,1280,1280
85277,2060,2060
85278,2280,2280
85279,2403,2403
85280,1300,1300
85281,1300,1300
85282,2583,2583
85283,2583,2583
85284,2583,2220
85285,2280,2705
85286,2583,2583
85287,2583,2583
85288,2522,2522
85289,2403,2403
85290,2582,2585
85291,1280,2060
85292,1300,1300
85293,10,1160
85294,2280,1140
85295,2280,2280
85296,1560,1560
85297,1560,1560
85298,2280,1160
85299,2060,1920
85300,2522,2522
85301,2583,2583
85302,1160,2403
85303,1300,1300
85304,1560,1560
85305,2060,1560
85306,1302,1302
85307,1560,1560
85308,10,2280
85309,2582,2582
85310,1920,1920
85311,10,40
85312,1300,1280
85313,2583,2583
85314,1320,1320
85315,2705,2705
85316,1560,2582
85317,1320,1320
85318,2462,2462
85319,10,2403
85320,2582,1560
85321,2403,2403
85322,2403,2403
85323,1920,1920
85324,2462,2462
85325,2403,2403
85326,1280,2403
85327,10,1160
85328,1320,1280
85329,10,1160
85330,2522,2522
85331,2060,2060
85332,2585,2583
85333,2522,2522
85334,1300,1302
85335,10,10
85336,1300,1300
85337,2583,2585
85338,2280,2280
85339,10,10
85340,2522,2522
85341,1560,1560
85342,1920,1920
85343,1560,1560
85344,1280,1280
85345,2583,1940
85346,10,1140
85347,10,2060
85348,1320,2060
85349,1280,1280
85350,2583,2583
85351,2060,2060
85352,1160,1160
85353,1300,1300
85354,1280,1140
85355,1920,1920
85356,1280,1280
85357,2583,2583
85358,1280,1280
85359,50,50
85360,2585,2585
85361,2280,2403
85362,1320,1320
85363,2705,2705
85364,1320,1320
85365,2280,2280
85366,2280,1300
85367,2585,2705
85368,2583,2583
85369,2585,2585
85370,50,50
85371,1300,1300
85372,1320,1320
85373,2060,2060
85374,10,2403
85375,2522,2522
85376,1320,2403
85377,2705,2705
85378,1320,1320
85379,1920,1920
85380,10,2403
85381,2585,2585
85382,1160,1160
85383,1920,2060
85384,2705,2705
85385,1320,1320
85386,1140,40
85387,1140,1140
85388,1280,40
85389,10,10
85390,2583,2583
85391,2585,2585
85392,10,1180
85393,1160,2403
85394,2585,2585
85395,1320,2403
85396,10,10
85397,2403,2403
85398,2583,2583
85399,2583,2583
85400,2403,2403
85401,2462,50
85402,1920,1920
85403,2583,2583
85404,2705,2705
85405,2583,2583
85406,1320,1320
85407,2522,2522
85408,1560,50
85409,2522,2582
85410,2060,2060
85411,2583,2583
85412,2582,2585
85413,2220,1280
85414,10,2582
85415,1320,2060
85416,2705,2705
85417,1300,1300
85418,1300,1300
85419,2280,2280
85420,1280,1280
85421,1300,1300
85422,50,50
85423,2583,2583
85424,2583,2583
85425,2583,2583
85426,2060,1320
85427,2585,2585
85428,2582,2582
85429,1280,1281
85430,1300,1300
85431,1560,1560
85432,1920,1920
85433,1560,1920
85434,2522,2585
85435,2522,2522
85436,2522,2522
85437,1300,1300
85438,1320,1320
85439,50,50
85440,2403,2403
85441,10,2403
85442,1920,1920
85443,2403,2403
85444,1160,1160
85445,1280,1280
85446,2583,2583
85447,1560,1560
85448,2280,2280
85449,1560,1560
85450,1280,1320
85451,50,50
85452,10,1140
85453,2060,2060
85454,2583,2583
85455,2583,2583
85456,2060,2060
85457,2705,2705
85458,1320,1320
85459,1300,1300
85460,1940,1940
85461,2280,2280
85462,10,40
85463,10,1300
85464,2583,2583
85465,1320,1320
85466,10,2705
85467,2705,2705
85468,2280,2280
85469,2583,2583
85470,1300,1300
85471,2522,2522
85472,1300,1300
85473,2280,2280
85474,2280,1300
85475,2280,2403
85476,10,1280
85477,2583,2583
85478,1920,1920
85479,1160,1280
85480,2585,2585
85481,2583,2583
85482,1302,1940
85483,10,10
85484,1280,1320
85485,2585,2585
85486,1302,1301
85487,1280,1320
85488,2280,1300
85489,2583,2583
85490,2582,2582
85491,1280,2522
85492,2522,2522
85493,2060,2060
85494,2280,2280
85495,2522,1320
85496,2582,2582
85497,2462,2462
85498,1920,1920
85499,1920,2060
85500,1920,1920
85501,2403,2403
85502,1160,1160
85503,2280,2403
85504,1300,1300
85505,1560,1560
85506,2585,2585
85507,2280,2280
85508,1920,1560
85509,2280,2280
85510,10,2705
85511,10,2403
85512,2705,2705
85513,2280,2462
85514,2060,2060
85515,1280,1280
85516,1920,1920
85517,1160,1160
85518,2582,2582
85519,2522,2522
85520,1281,1281
85521,60,60
85522,2060,2060
85523,1301,1301
85524,1280,1302
85525,1300,1300
85526,10,2403
85527,1160,1160
85528,2403,2403
85529,1940,1940
85530,2583,2583
85531,2583,2583
85532,2462,2462
85533,10,1302
85534,2582,2582
85535,2705,2705
85536,10,1160
85537,2060,2060
85538,2280,1280
85539,2522,2522
85540,1300,1300
85541,1281,2462
85542,2280,2403
85543,2582,2582
85544,2583,1302
85545,10,1300
85546,2462,2462
85547,2220,2220
85548,1920,2060
85549,2280,2280
85550,2403,2403
85551,1920,1560
85552,1320,1320
85553,2060,2060
85554,10,10
85555,50,50
85556,40,40
85557,1300,1300
85558,1280,1281
85559,1560,1560
85560,2583,2583
85561,2705,2705
85562,1920,1920
85563,1300,1300
85564,1160,1160
85565,1300,1300
85566,10,10
85567,1920,2060
85568,1300,1300
85569,1280,1280
85570,10,1300
85571,1560,1560
85572,2060,2582
85573,1940,1940
85574,1300,1280
85575,10,10
85576,1302,1302
85577,50,50
85578,10,10
85579,1140,1280
85580,2280,2403
85581,2583,2583
85582,1320,1320
85583,2583,2583
85584,2585,2585
85585,2583,2583
85586,2583,2583
85587,2522,2522
85588,2280,2280
85589,2705,2705
85590,2583,2583
85591,2522,1300
85592,2522,2522
85593,1560,1560
85594,1280,1280
85595,2060,2060
85596,1560,2060
85597,2583,2583
85598,50,1280
85599,2060,2060
85600,1140,1140
85601,1301,1301
85602,2585,2585
85603,2582,1302
85604,2705,2705
85605,1280,1280
85606,2582,1281
85607,1320,1320
85608,2060,2060
85609,2220,2220
85610,1160,1160
85611,2403,2403
85612,1560,1560
85613,2522,2522
85614,2280,2280
85615,60,60
85616,2522,2522
85617,1280,40
85618,1281,1281
85619,2705,2705
85620,1320,1320
85621,1280,1160
85622,1320,1320
85623,2583,2583
85624,2280,2280
85625,2060,2060
85626,2905,2905
85627,1160,1160
85628,2583,2583
85629,2582,2582
85630,1280,1280
85631,10,1160
85632,10,50
85633,1140,1140
85634,1560,1560
85635,10,1160
85636,2583,2583
85637,2403,2403
85638,2585,1301
85639,1302,2060
85640,2583,2585
85641,1160,1160
85642,1560,2060
85643,1302,1302
85644,2462,2462
85645,2705,2705
85646,1302,1302
85647,10,1160
85648,1560,1560
85649,2583,2583
85650,1560,2060
85651,2403,2403
85652,10,1180
85653,2583,2583
85654,2280,2705
85655,1300,1300
85656,2583,2583
85657,2583,2583
85658,2522,2522
85659,2280,2280
85660,10,1160
85661,10,2280
85662,2060,2060
85663,10,10
85664,1160,1160
85665,2582,2582
85666,1160,1160
85667,1300,1280
85668,1300,1300
85669,1320,1320
85670,2060,1560
85671,10,2403
85672,2280,2280
85673,2522,2522
85674,2060,1920
85675,2705,2705
85676,1160,1160
85677,2585,2585
85678,1280,1280
85679,10,10
85680,1280,1140
85681,1140,1140
85682,1300,1300
85683,1300,1280
85684,2585,2585
85685,1302,1302
85686,2583,2583
85687,2705,2705
85688,2220,2220
85689,1560,1560
85690,2583,2583
85691,2585,2585
85692,2583,2583
85693,2583,2583
85694,10,2705
85695,2403,2403
85696,2583,2583
85697,1140,1160
85698,2060,2220
85699,2522,2522
85700,10,2403
85701,1320,1920
85702,2060,1560
85703,2522,2522
85704,1140,40
85705,2583,2583
85706,50,40
85707,2585,2585
85708,1300,1300
85709,10,1281
85710,2403,2403
85711,10,1320
85712,2905,2905
85713,1560,1560
85714,60,60
85715,2585,2582
85716,2583,2583
85717,2060,1560
85718,2060,1560
85719,1301,1301
85720,1280,1320
85721,1301,1301
85722,2060,2522
85723,2060,2060
85724,2280,2280
85725,2403,2403
85726,1300,1300
85727,2585,2585
85728,50,50
85729,40,1160
85730,2280,2280
85731,10,2705
85732,2220,2220
85733,1280,1280
85734,2583,2583
85735,2905,2905
85736,10,1180
85737,1140,1180
85738,1160,1160
85739,10,2280
85740,1280,1180
85741,2585,2585
85742,2280,2280
85743,2585,2582
85744,2060,2060
85745,2583,2583
85746,1560,1560
85747,1280,1280
85748,2522,2522
85749,1140,1280
85750,1280,1140
85751,2060,2060
85752,2705,2705
85753,2583,2583
85754,10,1280
85755,50,50
85756,2583,2583
85757,1140,1140
85758,2522,1281
85759,1560,1560
85760,10,1160
85761,2060,2060
85762,1280,1281
85763,2403,2403
85764,1160,1160
85765,1920,1920
85766,10,1160
85767,40,40
85768,1280,1281
85769,10,2522
85770,2403,2403
85771,10,1281
85772,1320,1320
85773,2583,2583
85774,2403,2403
85775,10,2705
85776,1160,1160
85777,10,10
85778,2403,2403
85779,10,1160
85780,10,10
85781,2403,2403
85782,2060,2060
85783,1920,1920
85784,1560,1560
85785,10,2522
85786,2280,2280
85787,1280,1320
85788,10,1300
85789,2403,2280
85790,1160,1160
85791,2522,2522
85792,1320,1320
85793,1302,1302
85794,2583,2583
85795,2403,2403
85796,2583,2583
85797,2280,2403
85798,2585,2585
85799,1302,1302
85800,2583,2583
85801,1560,1560
85802,2585,2585
85803,2280,2280
85804,1281,1560
85805,2060,2060
85806,50,50
85807,1300,1300
85808,1280,1280
85809,1140,1140
85810,2583,2583
85811,10,10
85812,2403,2403
85813,2403,2462
85814,2403,2403
85815,2582,2582
85816,2522,2522
85817,1560,1560
85818,1301,1301
85819,1280,10
85820,10,40
85821,1280,1320
85822,2583,2583
85823,60,60
85824,2705,1320
85825,1920,1920
85826,2280,2280
85827,2280,2705
85828,10,2403
85829,2522,1160
85830,1302,1302
85831,40,40
85832,1300,1280
85833,1320,1320
85834,10,2403
85835,2583,2583
85836,50,50
85837,2583,2583
85838,1300,1280
85839,10,2280
85840,1280,1280
85841,2583,2583
85842,1320,1320
85843,1140,1280
85844,2280,2280
85845,50,60
85846,1560,1560
85847,1920,1920
85848,2280,2280
85849,2403,2403
85850,1320,2582
85851,2583,2583
85852,2583,1320
85853,1160,1160
85854,1300,1300
85855,2585,2585
85856,2060,2060
85857,1560,1560
85858,1301,1301
85859,10,1320
85860,2583,2583
85861,2060,2585
85862,10,2403
85863,1140,1140
85864,1300,1300
85865,1140,1140
85866,2522,2522
85867,1302,1302
85868,2280,2280
85869,1280,1280
85870,10,2462
85871,2522,2522
85872,2280,2280
85873,1140,1140
85874,2060,2060
85875,10,2585
85876,1280,2280
85877,10,2060
85878,2583,2583
85879,1300,1300
85880,2583,2583
85881,2583,2583
85882,60,60
85883,1281,1140
85884,10,1160
85885,2522,2522
85886,2522,2522
85887,1300,1300
85888,2583,2583
85889,1560,1560
85890,2905,2905
85891,10,2705
85892,2585,2585
85893,2280,2403
85894,2705,2705
85895,2060,2060
85896,1920,1920
85897,2403,2403
85898,1560,2582
85899,1281,1281
85900,50,2462
85901,2280,2280
85902,1160,1160
85903,1300,1300
85904,2060,2060
85905,1140,1140
85906,2583,2583
85907,2585,2582
85908,1300,1300
85909,1300,1300
85910,2583,2583
85911,2280,2280
85912,1302,10
85913,1160,1160
85914,10,2403
85915,1560,1320
85916,10,1940
85917,2403,10
85918,2583,2583
85919,2280,2280
85920,2060,2060
85921,1560,1560
85922,2583,2583
85923,2220,2060
85924,10,1140
85925,2462,2462
85926,2060,2060
85927,2583,2583
85928,2583,2583
85929,50,50
85930,2220,2220
85931,10,1160
85932,1140,1140
85933,1320,2522
85934,2705,2705
85935,1300,1300
85936,60,60
85937,1280,1280
85938,50,50
85939,1560,1560
85940,1920,1920
85941,1301,1301
85942,10,2403
85943,1160,1160
85944,2905,2905
85945,1302,1302
85946,2060,2060
85947,1940,1940
85948,40,40
85949,2403,2403
85950,1920,1920
85951,2583,2583
85952,1302,1302
85953,1140,1140
85954,1300,1280
85955,2060,2060
85956,2403,2403
85957,2583,2583
85958,2583,2583
85959,2403,10
85960,1280,1280
85961,2280,2403
85962,1280,1280
85963,2583,1280
85964,2705,2705
85965,2060,1320
85966,10,10
85967,2060,2583
85968,1320,1280
85969,2583,2583
85970,1560,1560
85971,2403,2403
85972,1302,1302
85973,1280,1281
85974,2280,2280
85975,1280,1280
85976,2060,2060
85977,1560,1560
85978,2060,1280
85979,2522,2522
85980,1920,1920
85981,1280,1281
85982,2280,1140
85983,2583,1320
85984,2583,2583
85985,2060,2060
85986,10,40
85987,2583,2583
85988,2583,2583
85989,1920,1920
85990,2583,2583
85991,2522,2522
85992,2583,2583
85993,1320,1320
85994,1920,1920
85995,1140,2060
85996,1560,1560
85997,1280,2705
85998,2280,2705
85999,2522,2583
86000,10,1140
86001,2522,2522
86002,2583,2583
86003,2585,2220
86004,1160,1160
86005,1301,1301
86006,1300,1300
86007,10,2403
86008,2583,2583
86009,1301,1301
86010,1300,1300
86011,1280,1280
86012,10,2403
86013,2583,2583
86014,2905,2905
86015,1560,1920
86016,2280,2403
86017,1280,1280
86018,1560,1560
86019,2280,1160
86020,1280,1281
86021,2583,2583
86022,1320,1280
86023,2060,1560
86024,1560,1560
86025,2585,2585
86026,2522,2522
86027,2583,2583
86028,1560,1560
86029,2583,2583
86030,10,2403
86031,1560,1560
86032,1300,1300
86033,1300,1300
86034,1560,2060
86035,2403,2403
86036,2583,2583
86037,50,50
86038,1280,1280
86039,1560,1560
86040,1320,1320
86041,10,1160
86042,2583,2583
86043,10,1140
86044,2522,2522
86045,2280,2280
86046,1160,1160
86047,1920,1920
86048,2060,1560
86049,1560,1560
86050,2060,2060
86051,2060,2060
86052,10,2705
86053,2583,2583
86054,2220,2220
86055,10,10
86056,2280,2280
86057,2582,2582
86058,2280,2280
86059,2905,2905
86060,50,50
86061,60,60
86062,2403,2403
86063,50,60
86064,1301,1301
86065,1160,1160
86066,2280,2280
86067,1920,1920
86068,1280,1280
86069,1281,40
86070,1300,1300
86071,1140,1140
86072,1280,1281
86073,1300,1300
86074,1560,1560
86075,50,50
86076,2705,10
86077,1560,1560
86078,1320,2583
86079,2280,2280
86080,2220,2220
86081,2583,2583
86082,1300,1300
86083,10,2403
86084,1920,1920
86085,10,10
86086,2582,2582
86087,1281,1281
86088,2522,2522
86089,10,1300
86090,2583,2583
86091,1320,1320
86092,2522,2522
86093,10,1160
86094,1560,1560
86095,10,40
86096,1300,1300
86097,1301,1301
86098,1560,2522
86099,1920,1920
86100,2583,2583
86101,2403,2403
86102,1140,1280
86103,1560,1560
86104,1160,1160
86105,10,2220
86106,2522,2522
86107,1140,1140
86108,1300,1300
86109,1281,1281
86110,1560,2582
86111,2522,1281
86112,2522,2522
86113,1920,1920
86114,2280,2280
86115,1560,2060
86116,1920,1920
86117,1560,1920
86118,2280,2280
86119,1320,1300
86120,10,40
86121,10,2403
86122,1302,1302
86123,2280,2705
86124,2585,2585
86125,10,1160
86126,2582,2582
86127,1280,1280
86128,1301,1281
86129,1140,1140
86130,1280,1281
86131,1281,1302
86132,10,10
86133,1320,1320
86134,1300,1300
86135,1280,1280
86136,1920,1920
86137,2060,2060
86138,2280,2280
86139,2060,2060
86140,2585,2585
86141,1300,1300
86142,2280,2280
86143,1280,1280
86144,1920,1920
86145,2522,1300
86146,1560,1560
86147,2060,2060
86148,2583,2583
86149,1280,1280
86150,1280,1280
86151,2582,2582
86152,10,1320
86153,10,10
86154,2403,10
86155,2060,2060
86156,2522,2522
86157,2280,1180
86158,1280,1280
86159,2585,2585
86160,1160,1160
86161,2403,2403
86162,10,10
86163,2583,2583
86164,2060,40
86165,60,60
86166,1140,1140
86167,2583,2583
86168,2060,2060
86169,1560,1560
86170,2280,2280
86171,2060,2060
86172,2522,2522
86173,10,1160
86174,1280,1281
86175,1300,1300
86176,2583,2583
86177,1281,1281
86178,2280,1180
86179,1300,1300
86180,2403,2403
86181,1160,1160
86182,2060,2060
86183,2583,2583
86184,10,1940
86185,2705,1140
86186,2462,2462
86187,2060,2060
86188,10,1281
86189,2403,2403
86190,40,1281
86191,10,10
86192,2280,2280
86193,2280,10
86194,1280,1280
86195,1300,1300
86196,1300,1300
86197,2280,2280
86198,2585,2585
86199,2280,2280
86200,2582,2582
86201,1301,1301
86202,2060,50
86203,2582,2582
86204,2583,2583
86205,1140,1140
86206,2403,2280
86207,1280,1280
86208,2280,2280
86209,10,2585
86210,2060,2060
86211,2060,2060
86212,2582,2582
86213,2705,2705
86214,1560,1560
86215,1300,1300
86216,2522,2522
86217,1560,1560
86218,2403,1320
86219,2060,2060
86220,1920,1560
86221,10,2522
86222,1160,1160
86223,1280,1280
86224,2583,2583
86225,2060,2060
86226,2583,2583
86227,1300,1300
86228,2583,2583
86229,1300,1300
86230,2705,1140
86231,1280,1280
86232,40,40
86233,2583,2583
86234,2403,2403
86235,2522,2522
86236,1920,1920
86237,1560,2060
86238,1320,1320
86239,2280,2280
86240,2522,2522
86241,10,10
86242,10,1160
86243,10,2403
86244,2060,2060
86245,1560,1560
86246,1301,1301
86247,2583,2583
86248,1300,1300
86249,50,50
86250,1280,1301
86251,2705,2705
86252,1160,1160
86253,1300,1300
86254,2583,2583
86255,2403,2403
86256,2583,2583
86257,1300,1300
86258,2060,2060
86259,1160,1160
86260,2583,2583
86261,1320,1320
86262,50,50
86263,1160,1160
86264,1280,2060
86265,2280,2280
86266,2583,2583
86267,1280,1280
86268,1281,1281
86269,1560,2060
86270,1300,1300
86271,10,2403
86272,1140,1140
86273,1320,1320
86274,2280,2280
86275,2583,2583
86276,2583,2583
86277,1180,1180
86278,2522,1302
86279,2522,2522
86280,10,40
86281,2705,2705
86282,10,2403
86283,2280,2705
86284,2060,1560
86285,1920,1920
86286,1280,1281
86287,2060,1560
86288,2705,2705
86289,10,10
86290,60,60
86291,1281,1281
86292,1140,1160
86293,10,1320
86294,1560,1560
86295,10,10
86296,2583,2583
86297,2905,2905
86298,2905,2905
86299,1302,50
86300,10,40
86301,2060,2060
86302,2585,2585
86303,1160,1160
86304,1940,1940
86305,2060,1320
86306,1560,1560
86307,2060,2060
86308,40,50
86309,1320,1320
86310,2522,2522
86311,2060,2060
86312,1920,1920
86313,1920,1920
86314,2585,2060
86315,1560,1560
86316,1280,1281
86317,10,2403
86318,1160,1160
86319,1920,2060
86320,1920,1920
86321,10,1180
86322,2462,2462
86323,1160,1160
86324,2583,2583
86325,2583,2583
86326,2583,2583
86327,2582,2060
86328,1160,1160
86329,10,2585
86330,2403,2403
86331,10,10
86332,2522,2522
86333,2280,2280
86334,1300,1300
86335,50,60
86336,1280,1140
86337,10,40
86338,10,2403
86339,2280,2403
86340,2280,2403
86341,2522,2522
86342,2060,2060
86343,1320,1560
86344,1320,1320
86345,10,10
86346,10,40
86347,1560,1560
86348,1940,1940
86349,2403,10
86350,2583,2583
86351,1140,1140
86352,1140,1300
86353,2585,2585
86354,10,1160
86355,2403,2403
86356,2522,2522
86357,1280,1280
86358,1302,1302
86359,2582,2582
86360,10,10
86361,1302,1302
86362,1280,1280
86363,2583,2583
86364,2280,2280
86365,2583,2583
86366,1300,1300
86367,2403,2403
86368,2403,2403
86369,2522,2522
86370,10,1302
86371,1300,1280
86372,1560,1560
86373,2583,2583
86374,2705,2705
86375,50,50
86376,2583,2583
86377,40,1302
86378,1320,1140
86379,1300,1300
86380,10,40
86381,10,2462
86382,2583,2583
86383,10,10
86384,10,2280
86385,2522,2522
86386,2583,2583
86387,1140,1140
86388,50,2462
86389,1300,1300
86390,2585,2585
86391,2280,2280
86392,2060,1920
86393,2403,2403
86394,1140,1140
86395,2522,2522
86396,1160,1160
86397,1300,1280
86398,1920,1920
86399,1920,2060
86400,10,10
86401,1280,1280
86402,1280,1302
86403,2583,2583
86404,2280,2280
86405,2280,2280
86406,2280,2280
86407,2582,2582
86408,1560,1560
86409,1320,1320
86410,2583,2583
86411,2280,2403
86412,1920,1920
86413,2060,2060
86414,2585,2060
86415,10,40
86416,1300,1300
86417,1280,1280
86418,10,1140
86419,1560,2060
86420,2403,2403
86421,1140,1180
86422,1940,1940
86423,2705,2705
86424,10,1300
86425,2060,2060
86426,1300,1300
86427,1920,1920
86428,1280,1300
86429,1560,1920
86430,1300,1300
86431,1300,1280
86432,1301,1302
86433,1302,1280
86434,1300,1300
86435,1300,1300
86436,1302,1302
86437,2280,10
86438,2280,1160
86439,1280,1280
86440,2280,2280
86441,1320,1140
86442,2060,1280
86443,50,1160
86444,10,10
86445,10,40
86446,1280,1302
86447,1300,1300
86448,40,1281
86449,1300,1300
86450,50,50
86451,1300,1300
86452,2583,2583
86453,1280,1320
86454,1160,1160
86455,1320,1320
86456,10,10
86457,2582,2582
86458,1280,2280
86459,1920,1920
86460,1300,1300
86461,10,2585
86462,1940,1940
86463,10,2403
86464,2583,2583
86465,2403,2403
86466,1560,1560
86467,40,2462
86468,2705,2705
86469,1280,1281
86470,10,2705
86471,2280,2280
86472,1320,1320
86473,1280,2220
86474,1560,2060
86475,2583,2583
86476,40,40
86477,1280,2585
86478,40,40
86479,2522,2522
86480,2522,2522
86481,1320,1280
86482,1320,1320
86483,1140,1140
86484,2522,2522
86485,1320,1320
86486,2280,2280
86487,2060,50
86488,2585,2585
86489,2280,2280
86490,50,2462
86491,2583,2583
86492,2280,2280
86493,2060,2060
86494,1300,1300
86495,2583,2583
86496,10,10
86497,1280,2582
86498,2060,2060
86499,2522,2522
86500,1300,1300
86501,10,2705
86502,1300,1300
86503,1560,1560
86504,2522,2522
86505,1320,1320
86506,2522,2522
86507,2583,2583
86508,2705,2705
